carId,carType,carModel,carYear
1GD02ZCGXDF501385,Chevrolet,Sportvan G30,1992
1N6AD0CU3AC551673,Ford,Mustang,1965
1FTSW2A51AE584424,Mitsubishi,Galant,1986
1G6DL67A680451443,Pontiac,Torrent,2009
1GD020CG2CF273537,Mitsubishi,Mirage,1989
JHMZE2H36BS492834,Plymouth,Reliant,1981
WAUAF78E67A344316,Jensen,Interceptor,1966
2D4RN3DG9BR929035,Cadillac,XLR,2009
1G6DH8E59C0647520,Ford,Five Hundred,2006
3GYFNFE3XES810439,Chevrolet,Corvette,1992
KNAFT4A29B5398997,GMC,Envoy,2007
WBAYM9C53DD223843,Dodge,Ram Van B350,1993
1GD11ZCG9DF233713,Dodge,Caliber,2010
5J6TF1H57FL261032,Land Rover,Defender Ice Edition,2010
JM3TB2MA9A0885569,Cadillac,SRX,2010
1FTSX2A50AE388827,Honda,Element,2010
1G6DN57U560082151,Saturn,Relay,2005
WDDLJ6HB5FA195895,Cadillac,STS,2005
WAUJT58E22A821832,Maserati,Quattroporte,1985
WBAEN33413P270855,Cadillac,Sixty Special,1993
WBS3U9C58FP692479,Geo,Metro,1996
3FA6P0D9XDR456274,Suzuki,XL7,2007
1N6AA0CJ7FN119937,MINI,Cooper Clubman,2010
3GYEK63N53G111034,Honda,Civic,2003
5TDBY5G11ES353395,Ford,LTD Crown Victoria,1993
JN1BJ0HP8DM571938,Toyota,Sienna,1999
SALCP2BG1FH973681,Daewoo,Lanos,2000
WDCGG0EB5EG788335,Honda,Passport,1995
3C3CFFJH8ET430960,Volvo,S60,2006
3D73M4EL8BG598709,Scion,xD,2012
SALSF2D41BA458989,BMW,5 Series,1995
WBAVA33518F246444,Volvo,XC70,2006
WAUKFBFL4AA076947,Hyundai,Azera,2009
5UXFA93505L059766,Toyota,Tacoma,2001
1GKS1FFJ9BR331087,Subaru,Legacy,2002
5UXFA53542L452433,Acura,CL,2001
SALGS2TF6FA425335,Audi,A4,2010
1GKMCCE38AR916620,Volvo,C70,2006
